Latitude,Longitude,Density
4.899819500000000261e+01,-1.199847029999999961e+02,nan
4.910860699999999923e+01,-1.199847029999999961e+02,nan
4.921901900000000296e+01,-1.199847029999999961e+02,nan
4.932943099999999959e+01,-1.199847029999999961e+02,nan
4.943984300000000331e+01,-1.199847029999999961e+02,nan
4.955025499999999994e+01,-1.199847029999999961e+02,nan
4.966066700000000367e+01,-1.199847029999999961e+02,nan
4.977107900000000029e+01,-1.199847029999999961e+02,nan
4.988149100000000402e+01,-1.199847029999999961e+02,nan
4.999190300000000065e+01,-1.199847029999999961e+02,nan
5.010231500000000437e+01,-1.199847029999999961e+02,nan
5.021272700000000100e+01,-1.199847029999999961e+02,nan
5.032313900000000473e+01,-1.199847029999999961e+02,nan
5.043355100000000135e+01,-1.199847029999999961e+02,nan
5.054396300000000508e+01,-1.199847029999999961e+02,nan
5.065437500000000171e+01,-1.199847029999999961e+02,nan
5.076478700000000543e+01,-1.199847029999999961e+02,nan
5.087519900000000206e+01,-1.199847029999999961e+02,nan
5.098561100000000579e+01,-1.199847029999999961e+02,nan
5.109602300000000241e+01,-1.199847029999999961e+02,nan
5.120643499999999904e+01,-1.199847029999999961e+02,nan
5.131684700000000277e+01,-1.199847029999999961e+02,nan
5.142725899999999939e+01,-1.199847029999999961e+02,nan
5.153767100000000312e+01,-1.199847029999999961e+02,nan
5.164808299999999974e+01,-1.199847029999999961e+02,nan
5.175849500000000347e+01,-1.199847029999999961e+02,nan
5.186890700000000010e+01,-1.199847029999999961e+02,nan
5.197931900000000383e+01,-1.199847029999999961e+02,nan
5.208973100000000045e+01,-1.199847029999999961e+02,nan
5.220014300000000418e+01,-1.199847029999999961e+02,nan
5.231055500000000080e+01,-1.199847029999999961e+02,nan
5.242096700000000453e+01,-1.199847029999999961e+02,nan
5.253137900000000116e+01,-1.199847029999999961e+02,nan
5.264179100000000489e+01,-1.199847029999999961e+02,nan
5.275220300000000151e+01,-1.199847029999999961e+02,nan
5.286261500000000524e+01,-1.199847029999999961e+02,nan
5.297302700000000186e+01,-1.199847029999999961e+02,nan
5.308343899999999849e+01,-1.199847029999999961e+02,nan
5.319385100000000222e+01,-1.199847029999999961e+02,nan
