fire_location_latitude,fire_location_longitude
49.410191,-114.318843
50.403817,-114.496917
53.752683,-116.657933
53.6002,-116.2014
53.414,-115.785417
53.73745,-115.598867
53.641917,-115.777333
53.333967,-117.844917
55.088917,-117.39575
58.717583,-118.751667
58.715583,-118.745533
59.242767,-118.570883
57.829086,-116.824495
58.463758,-114.394088
58.544067,-116.96785
59.016429,-119.746914
58.5442,-117.124633
58.460801,-114.443502
58.5812,-117.924783
55.91965,-110.738167
55.937533,-110.719617
54.850633,-114.074333
54.5834,-111.881004
54.893567,-112.70575
54.622783,-111.6576
54.613,-111.661833
54.654617,-113.937583
55.922017,-110.7371
55.631584,-111.088055
55.9352,-110.721267
55.621967,-111.178733
54.990075,-111.02638
55.228367,-113.196383
54.6747,-111.902333
56.471517,-111.204917
56.94265,-111.551083
56.001833,-116.912333
56.107983,-116.992667
57.074283,-117.626767
56.475683,-116.379183
52.943363,-115.897143
53.045585,-115.015775
51.871083,-114.94795
52.763617,-115.319717
53.0503,-115.579
53.02195,-115.066833
52.907033,-115.38755
55.213617,-114.775
55.939267,-113.778567
55.881133,-115.653183
56.546167,-115.097
54.845233,-115.36055
54.76805,-116.690083
54.054638,-116.813217
54.337717,-116.87215
54.701932,-116.186615
51.400665,-115.063332
48.998195,-113.5789
51.20905,-114.7227
50.962217,-114.94895
51.576633,-114.95955
49.918483,-114.414233
51.11877,-114.9119
50.980333,-114.96775
53.658867,-115.997633
55.773067,-119.301918
54.9384,-116.839917
54.975783,-117.4714
55.7576,-119.526417
55.6537,-119.223867
55.192,-117.493833
58.716415,-118.752197
58.356602,-119.016914
58.447,-119.227833
58.530667,-118.99265
54.544666,-110.38195
55.614601,-111.138229
54.572552,-111.778648
55.154711,-113.826787
55.9277,-110.717667
54.560318,-113.90287
55.690283,-111.28425
55.253583,-113.10405
56.419033,-111.428635
58.730934,-111.137718
56.525501,-117.65155
56.747215,-117.204987
55.967117,-116.731636
56.421,-117.646083
57.730417,-117.23265
56.46735,-116.380683
56.532,-116.408167
57.730317,-117.232517
52.840782,-115.505867
53.060717,-115.156533
52.304417,-116.413033
52.42852,-114.914695
55.964867,-113.825066
55.501355,-116.671543
54.276981,-114.926231
54.142918,-115.736702
51.212,-114.953317
51.255033,-114.764717
51.090527,-115.097222
53.813617,-116.460283
54.75835,-117.21265
55.888717,-119.665867
55.13615,-117.77065
58.465383,-114.532333
58.226517,-116.500967
58.106833,-116.430167
58.033617,-116.293883
58.425537,-114.589838
58.466283,-118.841533
58.525533,-115.154
58.57685,-118.799417
58.370767,-116.041033
58.63,-118.345467
54.506467,-111.348
54.6256,-111.852767
55.133767,-112.55685
55.9428,-110.7133
54.514367,-110.392817
54.839398,-111.557851
54.54502,-110.304578
54.890913,-110.838544
54.579395,-111.600208
55.552145,-111.195522
54.454158,-111.184048
55.516383,-111.2018
55.195067,-111.069467
55.195998,-110.138232
56.76105,-111.6534
56.787,-111.744867
56.664483,-111.457833
57.709033,-117.67015
57.85195,-118.341233
52.691717,-115.345217
52.92165,-115.155683
52.371982,-115.479067
55.600488,-116.61258
55.911333,-115.60495
55.26675,-116.736035
55.405433,-115.983295
56.383033,-115.88425
55.89355,-113.82345
56.525883,-115.349517
56.015968,-115.360693
56.387753,-115.897555
57.135667,-115.074217
55.461583,-116.972883
55.461517,-116.98135
55.4616,-116.9967
56.000683,-113.355617
54.0356,-115.83225
54.3628,-114.235138
54.252682,-115.18834
54.211733,-115.459583
54.603275,-114.549125
54.2632,-116.798883
54.103583,-115.89085
54.489178,-115.940507
50.019083,-114.026831
50.816133,-114.643883
51.43996,-115.08909
51.1423,-114.721217
51.4738,-115.110733
53.399133,-117.3755
53.632517,-115.53515
53.640583,-115.564433
55.486667,-119.53115
55.0441,-117.384417
55.077967,-117.852417
54.724955,-117.141712
54.729617,-119.033133
58.714115,-118.780761
58.53265,-115.156583
58.598383,-118.636467
58.134443,-117.283888
58.762733,-117.3292
58.738517,-117.254667
57.99555,-116.2943
58.514983,-116.359017
57.997732,-116.225818
58.755667,-117.334633
58.642133,-116.707333
58.03335,-116.2941
58.496033,-116.930733
58.858333,-117.462167
58.35265,-116.568267
59.23365,-119.213333
59.7649,-116.994867
54.382114,-111.319715
55.94085,-110.7185
55.926433,-110.719883
55.9314,-110.72835
55.903133,-110.7529
56.810517,-111.48315
56.40235,-111.292483
56.429817,-111.271817
57.969583,-111.011917
57.85685,-117.609847
56.27875,-118.27195
56.451483,-116.110267
56.334517,-116.755183
56.459367,-116.16265
57.363317,-119.7522
57.622517,-117.216083
52.7665,-114.751133
52.925667,-115.149117
53.120867,-115.2266
53.051717,-115.02895
52.557083,-115.169717
52.34455,-116.27575
52.173267,-116.480767
55.363888,-115.728787
56.1388,-113.851635
55.482167,-114.204267
55.916717,-113.95705
55.641983,-116.421817
55.192052,-114.132855
55.326135,-114.55021
55.1742,-116.391767
54.182617,-115.797733
54.140692,-115.554773
53.9826,-115.93305
54.1516,-117.4357
54.31488,-116.894135
54.629257,-115.54042
51.157533,-115.000317
50.966183,-114.954683
49.672167,-114.593333
51.111667,-115.0015
49.43175,-114.547983
51.28376,-115.146498
51.148817,-115.07465
51.15495,-114.848583
49.8813,-113.971283
55.171617,-118.198617
55.08214,-116.90359
55.066167,-118.814017
55.248033,-118.344
55.08455,-117.56095
55.09,-117.6875
54.52115,-118.484017
54.674533,-117.1002
58.60095,-118.600067
58.71915,-118.749283
58.710767,-118.710583
58.111517,-116.236767
58.711217,-118.7134
58.302583,-115.781
58.275833,-116.578057
58.714117,-118.724417
59.239178,-119.204939
58.047183,-115.599567
58.205667,-115.79805
57.975376,-116.896463
58.59785,-118.661447
58.447389,-114.519947
58.745917,-117.273167
58.3965,-114.665833
58.3993,-114.675167
58.396383,-114.665633
58.808253,-118.731483
58.466683,-119.227
58.601917,-117.1498
58.748533,-119.015083
58.787033,-118.966083
58.83475,-117.43975
58.485517,-115.5781
58.733633,-119.027517
58.690667,-119.084833
58.311283,-117.160917
58.55335,-117.5066
58.471133,-117.211667
58.422717,-116.9608
58.02775,-116.9156
58.425267,-116.349633
57.91352,-115.22514
58.7763,-118.2675
55.9588,-110.706383
55.917667,-110.740333
54.86313,-111.917922
54.874021,-111.819324
55.12105,-112.02865
54.731667,-113.526333
56.989033,-111.161233
56.835633,-111.73225
56.5887,-118.865617
57.7618,-117.557867
57.761233,-117.5579
55.598867,-116.712033
56.261133,-117.943717
58.002617,-117.990333
57.47976,-117.48561
52.403167,-116.247533
51.708833,-115.395833
52.23025,-116.615167
52.0789,-116.375083
51.931983,-114.931833
52.817367,-114.849733
56.537033,-115.256517
55.37025,-115.775
55.6932,-115.096733
57.2265,-115.182683
54.581633,-114.570183
50.833333,-114.688833
49.428167,-114.403733
49.62695,-114.639633
49.904683,-114.469417
51.276117,-115.0462
53.56345,-116.21855
53.555917,-115.917983
54.971883,-116.8895
55.02495,-117.85115
55.876389,-119.457778
54.767033,-119.108133
55.603633,-119.341583
55.277842,-116.939806
58.562917,-118.39735
58.396516,-116.716724
58.31079,-116.00399
57.8975,-115.377867
58.128083,-116.517005
58.869617,-117.4633
58.38495,-114.64355
58.765471,-117.331422
55.902167,-110.745167
55.053567,-111.597083
54.527367,-111.566217
54.51515,-110.864817
54.7625,-111.923167
55.043667,-111.529167
57.5377,-111.3508
56.163967,-111.7441
56.471017,-117.363983
56.295583,-117.919433
56.499367,-117.28505
57.850383,-117.64615
57.864533,-117.641717
57.892483,-117.631417
56.425833,-117.31555
56.454033,-116.12555
56.536833,-116.398683
52.3205,-115.167967
51.74205,-114.897183
52.716183,-115.132817
52.175717,-116.481117
55.111483,-116.074217
55.31755,-115.434567
55.91675,-115.65755
55.332411,-116.593759
55.29835,-116.8603
55.685967,-116.412867
56.527583,-115.355633
55.301667,-114.854167
55.346629,-115.792676
55.838,-114.296
55.258217,-116.587717
55.281667,-114.793333
55.832633,-114.275833
55.968617,-113.831667
55.280013,-115.380183
55.93955,-115.23645
56.568133,-115.241633
55.33485,-116.596267
55.181333,-113.976
55.282933,-115.879417
55.701983,-115.098783
55.703583,-115.09885
54.678117,-115.549183
54.483083,-114.418467
54.40955,-114.70285
54.14384,-115.7805
54.603,-115.549167
51.626867,-115.3001
50.184933,-114.3196
51.170467,-114.896967
53.20848,-116.79112
53.028417,-116.681017
53.439517,-116.2478
53.611683,-115.695783
53.708383,-115.502517
54.25245,-119.403333
55.40975,-118.086483
55.870023,-119.304967
55.65055,-119.51175
55.117838,-117.8054
54.671767,-118.270683
58.705883,-118.703683
58.487583,-116.377367
58.5223,-117.083267
58.707067,-118.674783
58.837443,-118.731727
58.511017,-115.5755
