id,fire_location_latitude,fire_location_longitude,fire_year
175,54.729617,-119.033133,2018
176,58.714115,-118.780761,2018
177,58.53265,-115.156583,2018
178,58.598383,-118.636467,2018
179,58.134443,-117.283888,2018
180,58.762733,-117.3292,2018
181,58.738517,-117.254667,2018
182,57.99555,-116.2943,2018
183,58.514983,-116.359017,2018
184,57.997732,-116.225818,2018
185,58.755667,-117.334633,2018
186,58.642133,-116.707333,2018
187,58.03335,-116.2941,2018
188,58.496033,-116.930733,2018
189,58.858333,-117.462167,2018
190,58.35265,-116.568267,2018
191,59.23365,-119.213333,2018
192,59.7649,-116.994867,2018
193,54.382114,-111.319715,2018
194,55.94085,-110.7185,2018
195,55.926433,-110.719883,2018
196,55.9314,-110.72835,2018
197,55.903133,-110.7529,2018
198,56.810517,-111.48315,2018
199,56.40235,-111.292483,2018
200,56.429817,-111.271817,2018
201,57.969583,-111.011917,2018
202,57.85685,-117.609847,2018
203,56.27875,-118.27195,2018
204,56.451483,-116.110267,2018
205,56.334517,-116.755183,2018
206,56.459367,-116.16265,2018
207,57.363317,-119.7522,2018
208,57.622517,-117.216083,2018
209,52.7665,-114.751133,2018
210,52.925667,-115.149117,2018
211,53.120867,-115.2266,2018
212,53.051717,-115.02895,2018
213,52.557083,-115.169717,2018
214,52.34455,-116.27575,2018
215,52.173267,-116.480767,2018
216,55.363888,-115.728787,2018
217,56.1388,-113.851635,2018
218,55.482167,-114.204267,2018
219,55.916717,-113.95705,2018
220,55.641983,-116.421817,2018
221,55.192052,-114.132855,2018
222,55.326135,-114.55021,2018
223,55.1742,-116.391767,2018
224,54.182617,-115.797733,2018
225,54.140692,-115.554773,2018
226,53.9826,-115.93305,2018
227,54.1516,-117.4357,2018
228,54.31488,-116.894135,2018
229,54.629257,-115.54042,2018
230,51.157533,-115.000317,2017
231,50.966183,-114.954683,2017
232,49.672167,-114.593333,2017
233,51.111667,-115.0015,2017
234,49.43175,-114.547983,2017
235,51.28376,-115.146498,2017
236,51.148817,-115.07465,2017
237,51.15495,-114.848583,2017
238,49.8813,-113.971283,2017
239,55.171617,-118.198617,2017
240,55.08214,-116.90359,2017
241,55.066167,-118.814017,2017
242,55.248033,-118.344,2017
243,55.08455,-117.56095,2017
244,55.09,-117.6875,2017
245,54.52115,-118.484017,2017
246,54.674533,-117.1002,2017
247,58.60095,-118.600067,2017
248,58.71915,-118.749283,2017
249,58.710767,-118.710583,2017
250,58.111517,-116.236767,2017
251,58.711217,-118.7134,2017
252,58.302583,-115.781,2017
253,58.275833,-116.578057,2017
254,58.714117,-118.724417,2017
255,59.239178,-119.204939,2017
256,58.047183,-115.599567,2017
257,58.205667,-115.79805,2017
258,57.975376,-116.896463,2017
259,58.59785,-118.661447,2017
260,58.447389,-114.519947,2017
261,58.745917,-117.273167,2017
262,58.3965,-114.665833,2017
263,58.3993,-114.675167,2017
264,58.396383,-114.665633,2017
265,58.808253,-118.731483,2017
266,58.466683,-119.227,2017
267,58.601917,-117.1498,2017
268,58.748533,-119.015083,2017
269,58.787033,-118.966083,2017
270,58.83475,-117.43975,2017
271,58.485517,-115.5781,2017
272,58.733633,-119.027517,2017
273,58.690667,-119.084833,2017
274,58.311283,-117.160917,2017
275,58.55335,-117.5066,2017
276,58.471133,-117.211667,2017
277,58.422717,-116.9608,2017
278,58.02775,-116.9156,2017
279,58.425267,-116.349633,2017
280,57.91352,-115.22514,2017
281,58.7763,-118.2675,2017
282,55.9588,-110.706383,2017
283,55.917667,-110.740333,2017
284,54.86313,-111.917922,2017
285,54.874021,-111.819324,2017
286,55.12105,-112.02865,2017
287,54.731667,-113.526333,2017
288,56.989033,-111.161233,2017
289,56.835633,-111.73225,2017
290,56.5887,-118.865617,2017
291,57.7618,-117.557867,2017
292,57.761233,-117.5579,2017
293,55.598867,-116.712033,2017
294,56.261133,-117.943717,2017
295,58.002617,-117.990333,2017
296,57.47976,-117.48561,2017
297,52.403167,-116.247533,2017
298,51.708833,-115.395833,2017
299,52.23025,-116.615167,2017
300,52.0789,-116.375083,2017
301,51.931983,-114.931833,2017
302,52.817367,-114.849733,2017
303,56.537033,-115.256517,2017
304,55.37025,-115.775,2017
305,55.6932,-115.096733,2017
306,57.2265,-115.182683,2017
307,54.581633,-114.570183,2017
308,50.833333,-114.688833,2016
309,49.428167,-114.403733,2016
310,49.62695,-114.639633,2016
311,49.904683,-114.469417,2016
312,51.276117,-115.0462,2016
313,53.56345,-116.21855,2016
314,53.555917,-115.917983,2016
315,54.971883,-116.8895,2016
316,55.02495,-117.85115,2016
317,55.876389,-119.457778,2016
318,54.767033,-119.108133,2016
319,55.603633,-119.341583,2016
320,55.277842,-116.939806,2016
321,58.562917,-118.39735,2016
322,58.396516,-116.716724,2016
323,58.31079,-116.00399,2016
324,57.8975,-115.377867,2016
325,58.128083,-116.517005,2016
326,58.869617,-117.4633,2016
327,58.38495,-114.64355,2016
328,58.765471,-117.331422,2016
329,55.902167,-110.745167,2016
330,55.053567,-111.597083,2016
331,54.527367,-111.566217,2016
332,54.51515,-110.864817,2016
333,54.7625,-111.923167,2016
334,55.043667,-111.529167,2016
335,57.5377,-111.3508,2016
336,56.163967,-111.7441,2016
337,56.471017,-117.363983,2016
338,56.295583,-117.919433,2016
339,56.499367,-117.28505,2016
340,57.850383,-117.64615,2016
341,57.864533,-117.641717,2016
342,57.892483,-117.631417,2016
343,56.425833,-117.31555,2016
