fire_year,current_size,fire_location_latitude,fire_location_longitude,assessment_hectares,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_fighting_start_size,fire_origin_encoded,fire_type_encoded,general_cause_desc_encoded,weather_conditions_over_fire_encoded,temperature_encoded,relative_humidity_encoded,wind_speed_encoded,current_size_bin_encoded
2021,0.02,56.001833,-116.912333,0.02,1.0,17.0,24.0,12.0,0.02,3,2,10,2,0.6499999999999999,0.24,0.13333333333333333,0
2021,0.02,56.107983,-116.992667,0.02,0.5,16.0,25.0,10.0,0.02,3,2,0,2,0.6333333333333333,0.25,0.11111111111111112,0
2021,0.9,57.074283,-117.626767,0.05,2.0,20.0,40.0,40.0,0.5,3,2,0,2,0.7,0.4,0.4444444444444445,0
2021,0.01,56.475683,-116.379183,0.01,0.0,19.0,50.0,10.0,0.01,1,1,10,2,0.6833333333333333,0.5,0.11111111111111112,0
2021,47.4,52.943363,-115.897143,5.0,5.0,17.8,18.0,4.0,6.0,4,2,4,2,0.6633333333333333,0.18,0.044444444444444446,10
2021,1.0,53.045585,-115.015775,1.0,1.0,23.0,27.0,5.0,1.0,4,2,6,2,0.75,0.27,0.05555555555555556,0
2021,1.17,51.871083,-114.94795,0.8,3.0,21.9,21.0,4.0,0.8,3,2,10,3,0.7316666666666667,0.21,0.044444444444444446,0
2021,0.81,52.763617,-115.319717,0.15,1.0,23.9,53.0,3.0,0.81,1,2,10,0,0.7649999999999999,0.53,0.03333333333333333,0
2021,0.5,53.0503,-115.579,0.5,1.0,19.0,39.0,20.0,0.5,4,2,6,3,0.6833333333333333,0.39,0.22222222222222224,0
2021,0.5,53.02195,-115.066833,0.5,1.0,26.0,54.0,5.0,0.5,4,2,6,1,0.8,0.54,0.05555555555555556,0
2021,0.1,52.907033,-115.38755,0.1,0.0,6.0,45.0,1.0,0.1,4,1,9,0,0.4666666666666667,0.45,0.011111111111111112,0
2021,0.01,55.213617,-114.775,0.01,0.0,6.0,60.0,10.0,0.01,4,2,10,3,0.4666666666666667,0.6,0.11111111111111112,0
2021,0.01,55.939267,-113.778567,0.01,1.0,13.0,38.0,3.0,0.01,1,1,10,3,0.5833333333333333,0.38,0.03333333333333333,0
2021,1.1,55.881133,-115.653183,0.3,6.0,19.0,23.0,19.0,0.3,1,1,1,2,0.6833333333333333,0.23,0.2111111111111111,0
2021,57.57,56.546167,-115.097,1.0,12.0,22.0,24.0,15.0,2.0,4,1,6,0,0.7333333333333333,0.24,0.16666666666666669,10
2021,0.1,54.845233,-115.36055,0.01,1.0,20.0,50.0,20.0,0.1,4,2,6,0,0.7,0.5,0.22222222222222224,0
2021,0.3,54.76805,-116.690083,0.3,1.0,25.0,35.0,5.0,0.3,4,2,6,2,0.7833333333333333,0.35000000000000003,0.05555555555555556,0
2021,1.9,54.054638,-116.813217,1.0,1.0,25.0,39.0,4.0,1.2,4,2,1,3,0.7833333333333333,0.39,0.044444444444444446,0
2021,0.2,54.337717,-116.87215,0.02,2.0,32.0,28.0,15.0,0.1,4,2,4,2,0.8999999999999999,0.28,0.16666666666666669,0
2021,0.5,54.701932,-116.186615,0.3,1.0,33.0,29.0,8.0,0.5,4,2,6,2,0.9166666666666667,0.29,0.08888888888888889,0
2020,0.01,51.400665,-115.063332,0.01,0.1,20.0,35.0,5.0,0.01,4,2,9,2,0.7,0.35000000000000003,0.05555555555555556,0
2020,0.05,48.998195,-113.5789,0.2,1.0,14.0,60.0,8.0,0.02,4,2,6,3,0.6,0.6,0.08888888888888889,0
